iteration,branch,nodes,connections,scripts,scenes,lines
2,i2w1-terraria-blocks,3,0,0,2,0
2,i2w1-terraria-bow,40,12,41,1,0
2,i2w1-terraria-grappling-hook,3,0,0,2,0
2,i2w1-terraria-gravity,208,8,28,1,0
2,i2w1-water-physics,39,7,68,2,0
3,i3w1-celeste-blowfish-kevin,31,12,31,1,0
3,i3w1-celeste-ice-ball,199,30,107,1,0
3,i3w1-cp-celeste-bubbles,32,19,109,1,35
3,i3w1-mario-moving-snake,7,7,12,4,33
4,i4w1-antsim,98,4,69,2,247
4,i4w1-antsim-broken,78,4,51,2,187
4,i4w1-aquarium,12,1,13,1,0
4,i4w1-better-aquarium,50,20,150,1,0
4,i4w1-jf-tower-defense,83,9,149,1,170
4,i4w1-opus-magnum,60,27,158,1,0
4,i4w1-sort-the-court,13,3,18,1,31
5,i5w1-jf-move-planning,73,36,259,1,122
5,i5w1-modular-enemies,83,27,194,1,168
5,i5w1-pokemon-fights-weather,53,109,633,1,0
5,i5w1-roguelike-tetris,48,40,299,1,0
5,i5w1-sap,6,5,37,2,21
6,i6w1-fishing,82,27,180,1,61
6,i6w1-fishing-deploy,100,44,316,4,61
6,i6w1_jf_geometry_dash,100,44,316,7,32
6,i6w1-nidhoegg,101,59,363,1,0
